Year,CSIRO,IAP,MRI/JMA,NOAA
1955,,-7.567433333,-9.497333333,-3.437233333
1956,,-6.933433333,-7.897333333,-2.844233333
1957,,-6.810433333,-8.947333333,-4.849233333
1958,,-2.275433333,-5.707333333,-1.769233333
1959,,-5.154433333,-7.347333333,-2.425233333
1960,-4.279333333,-4.375433333,-5.687333333,-1.678233333
1961,-2.769333333,-4.253433333,-4.047333333,-2.351233333
1962,-1.769333333,-1.716433333,-2.927333333,-1.311233333
1963,-1.479333333,-2.353433333,-3.697333333,-2.508233333
1964,-2.809333333,-5.390433333,-4.607333333,-3.357233333
1965,-2.609333333,-5.306433333,-5.027333333,-3.296233333
1966,-2.479333333,-3.979433333,-4.327333333,-4.180233333
1967,-3.869333333,-4.189433333,-5.837333333,-4.597233333
1968,-5.949333333,-5.045433333,-7.077333333,-5.964233333
1969,-7.519333333,-4.750433333,-6.467333333,-4.717233333
1970,-6.349333333,-5.600433333,-5.637333333,-5.534233333
1971,-5.819333333,-3.311433333,-4.177333333,-4.003233333
1972,-5.129333333,-3.686433333,-3.337333333,-5.475233333
1973,-5.359333333,-3.826433333,-3.327333333,-3.755233333
1974,-5.609333333,-2.209433333,-3.717333333,-3.011233333
1975,-6.459333333,-1.700433333,-2.317333333,-1.787233333
1976,-5.639333333,-1.913433333,-3.047333333,-2.839233333
1977,-5.699333333,-0.908433333,-3.157333333,-0.204233333
1978,-3.629333333,-0.354433333,-2.817333333,-0.184233333
1979,-2.299333333,-1.722433333,-2.197333333,-1.196233333
1980,-0.559333333,-1.702433333,-0.317333333,0.854766667
1981,0.350666667,-1.342433333,0.932666667,-0.114233333
1982,0.020666667,-1.993433333,-0.117333333,-2.542233333
1983,-0.719333333,-2.503433333,-1.787333333,-2.999233333
1984,-2.009333333,-3.053433333,-0.797333333,-0.695233333
1985,-1.729333333,-1.444433333,0.232666667,-0.126233333
1986,-0.909333333,0.221566667,-0.347333333,-1.273233333
1987,0.990666667,-0.074433333,-1.137333333,-1.129233333
1988,1.850666667,-0.197433333,0.722666667,0.851766667
1989,2.820666667,-1.153433333,0.532666667,0.666766667
1990,3.200666667,-1.100433333,0.882666667,-0.059233333
1991,2.390666667,2.728566667,1.692666667,2.409766667
1992,2.580666667,1.785566667,2.752666667,0.335766667
1993,2.950666667,2.345566667,2.532666667,0.447766667
1994,3.990666667,2.822566667,2.722666667,1.273766667
1995,5.270666667,1.608566667,0.972666667,2.027766667
1996,6.330666667,4.092566667,2.972666667,4.307766667
1997,6.210666667,3.549566667,3.082666667,3.008766667
1998,4.780666667,4.793566667,3.212666667,4.067766667
1999,3.840666667,5.896566667,5.192666667,5.706766667
2000,3.990666667,4.353566667,4.162666667,5.435766667
2001,5.370666667,5.172566667,5.282666667,3.880766667
2002,5.830666667,7.476566667,7.732666667,6.552766667
2003,6.920666667,9.650566667,9.812666667,9.715766667
2004,7.230666667,9.676566667,9.022666667,10.00376667
2005,8.280666667,10.41556667,8.862666667,8.175766667
2006,8.750666667,11.94856667,9.622666667,10.19376667
2007,9.610666667,10.66556667,8.172666667,9.241766667
2008,10.24066667,11.51156667,9.592666667,9.815766667
2009,10.89066667,12.72556667,10.63266667,9.889766667
2010,11.29066667,12.14256667,10.51266667,10.13076667
2011,11.65066667,12.94756667,11.24266667,10.63276667
2012,12.39066667,13.66956667,11.02266667,10.70476667
2013,13.01066667,14.69856667,12.85266667,12.36476667
2014,14.22066667,14.71556667,13.08266667,13.02476667
2015,15.88066667,16.78256667,14.51266667,14.88576667
2016,,16.21656667,13.52266667,13.73576667
2017,,17.59556667,15.74266667,15.64176667
2018,,17.63056667,16.64266667,16.48576667
2019,,18.93356667,17.87266667,17.48976667
2020,,20.00756667,18.08266667,17.28776667
